index,source_node,target_node,weight,day
514,234,1545,671223.2,122
515,285,391,139532.0,122
516,285,391,184798.0,122
517,302,689,141913.0,122
518,302,828,179900.0,122
519,332,1516,380988.6,122
520,337,828,899680.0,122
521,84,2126,10000000.0,123
522,84,2127,895811.0,123
523,84,2128,899790.41,123
524,53,1035,248906.0,123
525,53,2048,348000.0,123
526,62,2057,870037.24,123
527,252,751,1539825.0,123
528,104,688,614520.0,124
529,104,688,188300.0,124
530,104,759,291888.86,124
531,104,1237,254500.0,124
532,164,1179,581577.67,124
533,175,422,799400.0,124
534,211,773,360000.0,124
535,256,1545,519000.0,124
536,285,895,155422.0,124
537,316,1354,149918.46,124
538,15,1055,997500.0,127
539,19,2140,470500.0,127
540,53,2368,200000.0,127
541,203,2025,472775.95,127
542,211,809,109629.87,127
543,226,948,899750.75,127
544,322,973,495000.0,127
545,324,842,280000.0,127
546,91,1052,392420.0,128
547,127,548,440022.0,128
548,164,2380,222000.0,128
549,256,462,322500.0,128
550,275,2368,775000.0,128
551,295,727,722000.0,128
552,330,701,248768.0,128
553,330,701,125580.0,128
554,11,662,481420.0,129
555,82,476,403219.1,129
556,96,730,898950.0,129
557,96,803,507800.0,129
558,96,814,501600.0,129
559,96,814,514200.0,129
560,96,884,510800.0,129
561,96,1098,510240.0,129
562,96,2084,216594.65,129
563,156,1076,578000.0,129
564,278,2140,563700.0,129
565,290,2366,695000.0,129
566,307,641,816892.28,129
567,307,641,728525.97,129
568,307,641,874362.71,129
569,64,500,705000.0,130
570,64,500,895012.8,130
571,64,791,615000.0,130
572,64,791,380774.34,130
573,80,1733,446200.0,130
574,103,773,665500.0,130
575,139,1322,896816.34,130
576,213,1231,550000.0,130
577,238,1499,297000.0,130
578,314,1158,655229.18,130
579,314,2044,491779.1,130
580,92,884,497418.55,131
581,92,1152,199540.0,131
582,92,1573,389622.35,131
583,123,737,246582.0,131
584,123,1153,643562.0,131
585,139,430,432500.0,131
586,156,1076,200800.0,131
587,244,607,397376.0,131
588,244,776,548000.0,131
589,244,1213,773000.0,131
590,268,1267,296000.0,131
591,279,2404,885350.0,131
592,285,1591,300000.0,131
593,314,779,459390.0,131
594,87,715,549800.0,132
595,115,714,329234.95,134
596,126,1545,700000.0,134
597,126,1545,600000.0,134
598,235,1200,411500.0,134
599,235,1684,215000.0,134
600,268,1153,299880.0,134
601,268,2381,245125.45,134
602,278,754,888858.12,134
603,285,391,793800.0,134
604,319,1514,167396.0,134
605,319,1514,554800.0,134
606,332,1588,190575.0,134
607,6,1190,849038.0,135
608,10,504,799253.0,135
609,10,517,872927.0,135
610,10,707,865046.0,135
611,10,787,1610676.35,135
612,63,1307,387190.0,135
613,63,2412,347750.0,135
614,99,2090,155518.27,135
615,99,2368,231000.0,135
616,152,487,699979.8,135
617,152,487,874996.65,135
618,152,487,649998.0,135
619,227,669,251788.0,135
620,242,1212,865000.0,135
621,265,2126,1200000.0,135
622,265,2127,1380000.0,135
623,265,2127,1200000.0,135
624,265,2128,1200000.0,135
625,265,2128,1820000.0,135
626,265,2139,1800000.0,135
627,288,1437,770115.0,135
628,330,701,292003.84,135
629,84,923,2958120.0,136
630,84,2129,900000.0,136
631,73,675,646046.0,136
632,73,811,776573.0,136
633,175,422,859644.5,136
634,279,911,222500.0,136
635,63,1307,427499.1,137
636,63,1307,475773.0,137
637,256,524,330000.0,137
638,293,933,325000.0,137
639,302,639,374299.16,137
640,44,526,342458.58,138
641,64,500,279925.0,138
642,64,510,885588.34,138
643,157,1098,499600.0,138
644,157,1098,499600.0,138
645,174,1130,499998.0,138
646,174,1474,450000.0,138
647,174,2368,429468.0,138
648,242,1260,395986.42,138
649,244,607,226500.0,138
650,244,734,536900.0,138
651,154,1902,899857.77,139
652,196,2366,500000.0,139
653,196,2366,400000.0,139
654,79,418,462400.0,141
655,241,1084,418200.0,141
656,241,1471,890350.0,141
657,241,1471,893250.0,141
658,244,734,894875.0,141
659,244,734,806712.3,141
660,245,1006,510000.0,141
661,284,689,200000.0,141
662,322,395,290000.0,141
663,11,662,205488.75,142
664,287,1168,146500.0,142
665,337,1192,351500.0,142
666,17,773,180000.0,143
667,17,773,270000.0,143
668,17,948,199820.93,143
669,84,2364,845000.0,143
670,60,948,880985.22,143
671,60,948,663471.23,143
672,60,948,455000.0,143
673,87,1063,224560.5,143
674,154,1004,895736.27,143
675,154,1004,894687.53,143
676,154,1440,897625.44,143
677,154,1440,877483.13,143
678,196,765,248400.0,143
679,196,765,499000.0,143
680,196,765,248400.0,143
681,196,765,300000.0,143
682,196,2366,400000.0,143
683,196,2366,300000.0,143
684,235,755,260000.0,143
685,273,641,899058.57,143
686,273,641,899223.01,143
687,84,897,668950.0,144
688,84,934,498000.0,144
689,84,2368,499000.0,144
690,47,603,570000.0,144
691,61,948,376827.41,144
692,61,948,434730.85,144
693,64,500,447579.41,144
694,64,1684,454117.0,144
695,86,904,115600.0,144
696,86,1814,90187.04,144
697,277,772,520200.0,144
698,307,641,890295.68,144
699,326,1248,524218.0,144
700,326,1332,197000.0,144
701,326,2369,400000.0,144
702,55,893,192000.0,145
703,55,907,895267.63,145
704,64,500,895000.0,145
705,64,946,315377.5,145
706,64,1577,255900.0,145
707,139,1702,3227000.0,145
708,291,695,1003100.0,145
709,291,695,985900.0,145
710,291,828,1012600.0,145
711,291,828,1190280.0,145
712,291,1352,1116850.0,145
713,291,1352,3066300.0,145
714,309,672,867926.0,145
715,316,561,279486.39,145
716,138,587,300000.0,146
717,138,672,300434.51,146
718,138,1559,300000.0,146
719,138,1559,300000.0,146
720,14,593,416500.0,148
721,14,593,898000.0,148
722,14,931,898500.02,148
723,14,1153,836440.0,148
724,46,607,897268.9,148
725,46,875,584500.0,148
726,55,2151,255000.0,148
727,64,414,201300.0,148
728,64,414,251350.0,148
729,64,414,392669.0,148
730,64,414,499850.0,148
731,64,501,843286.0,148
732,64,1365,174000.0,148
733,75,1078,1239500.0,148
734,183,842,334850.0,148
735,183,2409,400000.0,148
736,188,1017,240000.0,148
737,254,596,3470000.0,148
738,283,1545,525327.51,148
739,88,479,532969.0,149
740,295,2368,695000.0,149
741,332,1588,396947.06,149
742,332,1972,479673.5,149
743,68,1093,890390.05,150
744,73,754,323750.0,150
745,235,1060,489774.45,150
746,237,672,551653.25,150
747,51,662,496950.1,151
748,56,1152,335000.0,151
749,87,1060,549990.0,151
750,235,1237,509221.0,151
751,237,1337,351952.2,151
752,84,940,895000.0,152
